DISPLAY origin=(0,0) px=1512x982 physical_mm=301.2x195.6
place device flat on desk, press EnterOpening /dev/cu.usbmodem101 at 921600 baud
GYRO BIAS dps=[7.46709, 3.9045, 0.25038] std_dps=[0.50967, 0.43893, 0.49747]
CALIBRATION position_mm=[41.1, 61.9, -495.3] quaternion_wxyz=[0.68519, -0.12651, 0.03027, -0.71665]
Opening /dev/cu.usbmodem101 at 921600 baud
TRACK MOVING  rate=  1 Hz  drift=  +0.00 deg/min  peak=    7.2/2048 dps  cursor=no intersection  ray_az/el=+102.5/-3.4deg hit_mm=none
TRACK MOVING  rate=219 Hz  drift=  +0.00 deg/min  peak=   50.6/2048 dps  cursor=1125,408  ray_az/el=+3.3/+0.8deg hit_mm=+69.8,+6.6
TRACK MOVING  rate=219 Hz  drift=  +0.00 deg/min  peak=   45.2/2048 dps  cursor=1267,336  ray_az/el=+7.6/+4.1deg hit_mm=+106.8,+36.1
TRACK MOVING  rate=219 Hz  drift=  +0.00 deg/min  peak=   45.2/2048 dps  cursor=1319,341  ray_az/el=+7.6/+3.1deg hit_mm=+107.4,+27.2
TRACK MOVING  rate=219 Hz  drift=  +0.00 deg/min  peak=   45.2/2048 dps  cursor=1353,555  ray_az/el=+9.2/-1.7deg hit_mm=+121.2,-15.2
TRACK MOVING  rate=219 Hz  drift=  +0.00 deg/min  peak=   45.2/2048 dps  cursor=1345,570  ray_az/el=+8.5/-1.7deg hit_mm=+115.2,-14.6
TRACK MOVING  rate=219 Hz  drift=  +0.00 deg/min  peak=   23.6/2048 dps  cursor=1278,617  ray_az/el=+6.8/-3.3deg hit_mm=+100.2,-28.7
TRACK MOVING  rate=219 Hz  drift=  +0.00 deg/min  peak=   18.9/2048 dps  cursor=1229,677  ray_az/el=+5.7/-4.8deg hit_mm=+90.5,-41.5
TRACK MOVING  rate=219 Hz  drift=  +0.00 deg/min  peak=   25.6/2048 dps  cursor=1108,812  ray_az/el=+3.7/-6.6deg hit_mm=+73.1,-57.4
TRACK MOVING  rate=219 Hz  drift=  +0.00 deg/min  peak=   31.7/2048 dps  cursor=1173,769  ray_az/el=+5.3/-7.3deg hit_mm=+87.3,-63.5
TRACK MOVING  rate=219 Hz  drift=  +0.00 deg/min  peak=   31.7/2048 dps  cursor=1248,638  ray_az/el=+5.8/-2.8deg hit_mm=+91.5,-24.0
TRACK MOVING  rate=219 Hz  drift=  +0.00 deg/min  peak=   31.7/2048 dps  cursor=1078,603  ray_az/el=+2.4/-2.2deg hit_mm=+62.2,-18.9
TRACK MOVING  rate=219 Hz  drift=  +0.00 deg/min  peak=   31.7/2048 dps  cursor=1049,534  ray_az/el=+1.9/-0.7deg hit_mm=+57.9,-6.1
TRACK MOVING  rate=219 Hz  drift=  +0.00 deg/min  peak=   30.7/2048 dps  cursor=1036,488  ray_az/el=+1.5/+0.2deg hit_mm=+54.3,+2.1
TRACK MOVING  rate=219 Hz  drift=  +0.00 deg/min  peak=   23.4/2048 dps  cursor=999,418  ray_az/el=+0.7/+2.0deg hit_mm=+46.8,+17.4
TRACK MOVING  rate=219 Hz  drift=  +0.00 deg/min  peak=   34.8/2048 dps  cursor=842,328  ray_az/el=-3.1/+3.8deg hit_mm=+14.4,+32.7
TRACK MOVING  rate=219 Hz  drift=  +0.00 deg/min  peak=   34.8/2048 dps  cursor=837,282  ray_az/el=-3.0/+4.8deg hit_mm=+14.8,+42.0
TRACK MOVING  rate=219 Hz  drift=  +0.00 deg/min  peak=   34.8/2048 dps  cursor=848,243  ray_az/el=-2.5/+5.7deg hit_mm=+19.9,+49.8
TRACK MOVING  rate=219 Hz  drift=  +0.00 deg/min  peak=   34.8/2048 dps  cursor=861,224  ray_az/el=-2.3/+6.6deg hit_mm=+21.1,+57.5
TRACK MOVING  rate=219 Hz  drift=  +0.00 deg/min  peak=   58.0/2048 dps  cursor=869,170  ray_az/el=-3.0/+6.9deg hit_mm=+15.2,+59.7
TRACK MOVING  rate=219 Hz  drift=  +0.00 deg/min  peak=   58.0/2048 dps  cursor=910,146  ray_az/el=-0.9/+8.0deg hit_mm=+33.0,+69.3
TRACK MOVING  rate=219 Hz  drift=  +0.00 deg/min  peak=   58.0/2048 dps  cursor=957,2  ray_az/el=+0.2/+13.1deg hit_mm=+42.6,+115.7
TRACK MOVING  rate=219 Hz  drift=  +0.00 deg/min  peak=   58.0/2048 dps  cursor=913,140  ray_az/el=-1.3/+7.7deg hit_mm=+29.9,+67.4
# !!! RECENTERED !!! recenters=2
TRACK MOVING  rate=219 Hz  drift=  +0.00 deg/min  peak=   23.0/2048 dps  cursor=971,239  ray_az/el=+0.2/+5.5deg hit_mm=+42.4,+48.1
# !!! RECENTERED !!! recenters=3
TRACK MOVING  rate=219 Hz  drift=  +0.00 deg/min  peak=   23.0/2048 dps  cursor=970,259  ray_az/el=+0.2/+5.1deg hit_mm=+42.8,+44.4
TRACK MOVING  rate=219 Hz  drift=  +0.00 deg/min  peak=   22.6/2048 dps  cursor=974,336  ray_az/el=+0.3/+3.5deg hit_mm=+43.9,+30.0
TRACK MOVING  rate=219 Hz  drift=  +0.00 deg/min  peak=   29.6/2048 dps  cursor=1095,159  ray_az/el=+2.9/+6.9deg hit_mm=+66.3,+60.0
TRACK MOVING  rate=219 Hz  drift=  +0.00 deg/min  peak=   40.2/2048 dps  cursor=884,663  ray_az/el=-2.1/-4.3deg hit_mm=+22.8,-37.6
TRACK MOVING  rate=219 Hz  drift=  +0.00 deg/min  peak=   40.2/2048 dps  cursor=960,537  ray_az/el=+0.2/-1.0deg hit_mm=+42.8,-8.3
TRACK MOVING  rate=219 Hz  drift=  +0.00 deg/min  peak=   40.2/2048 dps  cursor=1028,441  ray_az/el=+1.8/+0.9deg hit_mm=+57.0,+7.7
TRACK MOVING  rate=218 Hz  drift=  +0.00 deg/min  peak=   40.2/2048 dps  cursor=1070,532  ray_az/el=+2.8/-1.1deg hit_mm=+65.5,-9.6
TRACK MOVING  rate=218 Hz  drift=  +0.00 deg/min  peak=   31.4/2048 dps  cursor=1135,572  ray_az/el=+4.5/-1.2deg hit_mm=+80.1,-10.2
TRACK MOVING  rate=218 Hz  drift=  +0.00 deg/min  peak=   19.3/2048 dps  cursor=1188,507  ray_az/el=+4.9/-0.6deg hit_mm=+84.0,-5.2
TRACK MOVING  rate=218 Hz  drift=  +0.00 deg/min  peak=   16.2/2048 dps  cursor=1150,507  ray_az/el=+4.1/-0.2deg hit_mm=+76.2,-1.4
TRACK MOVING  rate=218 Hz  drift=  +0.00 deg/min  peak=   16.2/2048 dps  cursor=1058,490  ray_az/el=+2.0/+0.1deg hit_mm=+58.3,+1.1
TRACK MOVING  rate=218 Hz  drift=  +0.00 deg/min  peak=   15.6/2048 dps  cursor=990,494  ray_az/el=+0.4/-0.2deg hit_mm=+44.2,-1.4
TRACK MOVING  rate=218 Hz  drift=  +0.00 deg/min  peak=   13.1/2048 dps  cursor=961,498  ray_az/el=-0.0/+0.2deg hit_mm=+41.0,+1.9
TRACK MOVING  rate=218 Hz  drift=  +0.00 deg/min  peak=   19.2/2048 dps  cursor=955,531  ray_az/el=+0.1/-1.4deg hit_mm=+42.4,-12.0
